Readmission under 30 days;Readmission under 30 days;Readmission under 30 days;Readmission under or over 30 days;Readmission under or over 30 days;Readmission under or over 30 days
Model;Score;Accuracy;Model;Score;Accuracy
K-Nearest Neighbors;0.9078005169272488;0.9078005169272488;K-Nearest Neighbors;0.5777297572136774;0.5777297572136774
Logistic Regression;0.9127155628998771;0.9127155628998771;Logistic Regression;0.6267954747680183;0.6267954747680183
Linear SVC;0.9132663870174993;0.9132663870174993;Linear SVC;0.6257785687047159;0.6257785687047159
Random Forest;0.9108838568298028;0.9126731918139062;Random Forest;0.6112908275070438;0.6081098258548366
Adaptive boosting;0.9126731918139062;0.9126731918139062;Adaptive boosting;0.6361171136816237;0.6361171136816237
Decision Tree;0.8314899833055092;0.8265751451209694;Decision Tree;0.570534223706177;0.5571797805177747
Extra Trees;0.9106751539183972;0.9120799966103131;Extra Trees;0.6090994469372848;0.5963730350408881
Naive Bayes;0.08880979619507648;0.08880979619507648;Naive Bayes;0.6048472522350747;0.6048472522350747
